Filename,Toe 1 force (N),Toe 2 force (N),Toe 3 force (N),Toe 4 force (N),Toe 1 area (cm²),Toe 2 area (cm²),Toe 3 area (cm²),Toe 4 area (cm²),Total force (N),Total area (cm²)
16.7 w.csv,4.1,12.4,9.9,12.2,7.73,9.84,9.13,11.24,38.6,37.94
16.7 w.csv,4.1,11.5,9.4,12.2,7.73,9.84,9.13,11.24,37.2,37.94
16.7 w.csv,4.1,10.6,9.4,12.2,7.73,9.84,9.13,11.24,36.3,37.94
16.7 w.csv,4.1,10.1,9.4,12.2,7.73,9.84,9.13,11.24,35.8,37.94
11.7 w.csv,3.1,5.3,2.0,6.3,6.32,6.32,6.32,6.32,16.8,25.29
16.7 w.csv,6.2,3.6,8.2,16.6,9.13,8.43,9.13,10.54,34.5,37.24
11.7 w.csv,8.0,13.0,12.7,13.3,9.13,14.05,10.54,14.05,47.1,47.78
11.7 h.csv,33.2,12.9,4.1,49.3,13.35,12.65,9.84,14.05,99.5,49.88
flat h.csv,33.7,13.6,28.5,17.7,17.56,11.24,11.24,12.65,93.4,52.69
16.7 h.csv,32.9,25.0,13.0,0.0,10.54,10.54,9.13,0.00,70.8,30.21
11.7 h.csv,33.2,12.9,4.1,49.3,13.35,12.65,9.84,14.05,99.5,49.88
+10 toe 1 h.csv,31.3,15.5,27.2,35.8,15.46,11.94,13.35,16.16,109.9,56.91
+10 toe 0 w.csv,4.9,4.3,9.7,11.8,10.54,9.13,8.43,13.35,30.7,41.45
+10 toe 0 h.csv,3.3,8.4,29.3,25.6,6.32,6.32,10.54,13.35,66.5,36.53
test flat 3kg w.csv,15.7,6.2,4.7,0.0,22.48,10.54,9.84,0.00,26.7,42.86
test 30 deg handweighted.csv,81.9,16.6,20.9,0.0,33.02,8.43,10.54,0.00,119.3,51.99
11.7 w.csv,8.0,13.0,12.7,13.3,9.13,14.05,10.54,14.05,47.1,47.78
+10 toe 0 h.csv,3.3,8.4,29.3,25.6,6.32,6.32,10.54,13.35,66.5,36.53
+10 toe 0 w.csv,4.9,4.3,9.7,11.8,10.54,9.13,8.43,13.35,30.7,41.45
+10 toe 1 h.csv,31.3,15.5,27.2,35.8,15.46,11.94,13.35,16.16,109.9,56.91
11.7 h.csv,33.2,12.9,4.1,49.3,13.35,12.65,9.84,14.05,99.5,49.88
11.7 w.csv,8.0,13.0,12.7,13.3,9.13,14.05,10.54,14.05,47.1,47.78
16.7 w.csv,4.1,10.1,9.4,12.2,7.73,9.84,9.13,11.24,35.8,37.94
flat w.csv,10.7,12.2,14.7,12.9,11.94,13.35,11.24,14.05,50.5,50.59
flat 3kg w.csv,12.1,12.6,12.5,11.2,12.65,14.05,13.35,10.54,48.4,50.59
orange 10deg.csv,26.2,0.0,0.0,0.0,53.40,0.00,0.00,0.00,26.2,53.40
orange 20deg.csv,113.1,0.0,0.0,0.0,67.45,0.00,0.00,0.00,113.1,67.45
orange toe 0 15mm.csv,11.4,7.6,2.1,0.0,21.08,16.86,7.03,0.00,21.0,44.97
orange toe 1 15mm.csv,22.9,5.3,6.9,0.0,35.83,12.65,12.65,0.00,35.1,61.12
orange_flat.csv,43.6,0.0,0.0,0.0,71.66,0.00,0.00,0.00,43.6,71.66
small blue fish 10deg.csv,134.9,0.0,0.0,0.0,54.10,0.00,0.00,0.00,134.9,54.10
small blue fish 20deg.csv,138.0,0.0,0.0,0.0,47.07,0.00,0.00,0.00,138.0,47.07
small blue fish flat.csv,142.6,0.0,0.0,0.0,81.50,0.00,0.00,0.00,142.6,81.50
small blue fish toe0.csv,69.6,46.9,0.0,0.0,44.26,17.56,0.00,0.00,116.5,61.83
small blue fish toe1.csv,41.4,58.4,0.0,0.0,33.72,16.16,0.00,0.00,99.8,49.88
white 10deg.csv,101.3,0.0,0.0,0.0,76.58,0.00,0.00,0.00,101.3,76.58
white 20deg.csv,73.5,0.0,0.0,0.0,57.61,0.00,0.00,0.00,73.5,57.61
white flat.csv,84.2,0.0,0.0,0.0,85.71,0.00,0.00,0.00,84.2,85.71
white toe 0.csv,72.0,12.9,0.0,0.0,60.42,15.46,0.00,0.00,84.9,75.88
white toe 1.csv,84.0,19.1,0.0,0.0,60.42,19.67,0.00,0.00,103.1,80.09
orange_flat.csv,43.6,0.0,0.0,0.0,71.66,0.00,0.00,0.00,43.6,71.66
white flat.csv,84.2,0.0,0.0,0.0,85.71,0.00,0.00,0.00,84.2,85.71
orange 10deg.csv,26.2,0.0,0.0,0.0,53.40,0.00,0.00,0.00,26.2,53.40
orange 20deg.csv,113.1,0.0,0.0,0.0,67.45,0.00,0.00,0.00,113.1,67.45
white 10deg.csv,101.3,0.0,0.0,0.0,76.58,0.00,0.00,0.00,101.3,76.58
white 20deg.csv,73.5,0.0,0.0,0.0,57.61,0.00,0.00,0.00,73.5,57.61
orange toe 0 15mm.csv,11.4,7.6,2.1,0.0,21.08,16.86,7.03,0.00,21.0,44.97
orange toe 1 15mm.csv,22.9,5.3,6.9,0.0,35.83,12.65,12.65,0.00,35.1,61.12
+10 on toe 1 3kg w.csv,10.1,3.4,12.3,5.5,13.35,8.43,10.54,12.65,31.3,44.97
+10 on toe 1 3kg w.csv,10.1,3.4,12.3,5.5,13.35,8.43,10.54,12.65,31.3,44.97
+10 on toe 0 3kg w.csv,15.2,4.4,12.9,13.7,13.35,6.32,10.54,11.94,46.2,42.15
+10 on toe 1 handweight.csv,28.6,8.2,17.9,27.4,14.05,6.32,12.65,14.05,82.2,47.07
+10 on toe 1 3kg w.csv,10.1,3.4,12.3,5.5,13.35,8.43,10.54,12.65,31.3,44.97
+10 on toe 0 handweight.csv,20.8,16.0,21.9,24.5,14.05,12.65,14.05,12.65,83.2,53.40
+10 on toe 0 3kg w.csv,15.2,4.4,12.9,13.7,13.35,6.32,10.54,11.94,46.2,42.15
+10 on toes 1 and 2 3kg w.csv,8.5,9.5,6.3,8.4,10.54,14.75,12.65,12.65,32.7,50.59
+10 on toes 1 and 2 3kg w.csv,8.5,9.5,6.3,8.4,10.54,14.75,12.65,12.65,32.7,50.59
